timestamp,source_ip,destination_ip,protocol,port,size_bytes,http.host,http.request.uri,http.request.method,raw_payload,status
2025-06-10T15:13:58.940026,192.168.1.195,10.0.0.142,TCP,443,181,socialmedia.net,/,GET,jwt_token_hash,normal
2025-06-10T15:13:58.954825,192.168.1.90,10.0.0.65,TCP,443,134,newsportal.org,/,GET,,normal
2025-06-10T15:13:58.965654,192.168.1.132,10.0.0.12,TCP,443,492,newsportal.org,/submit,GET, link=https://legit.org ,normal
2025-06-10T15:13:58.975883,192.168.1.186,10.0.0.234,TCP,443,215,example.com,/search?q=data,GET, email=test@domain.org ,normal
2025-06-10T15:13:58.986472,192.168.1.253,10.0.0.3,TCP,80,448,newsportal.org,/search?q=data,GET,,normal
2025-06-10T15:13:58.996724,192.168.1.144,10.0.0.178,TCP,80,297,example.com,/dashboard,GET, link=https://legit.org ,normal
2025-06-10T15:13:59.007388,192.168.1.11,10.0.0.138,TCP,80,338,securebank.com,/submit,POST,username=test&password=password123,normal
2025-06-10T15:13:59.017882,192.168.1.229,10.0.0.42,TCP,443,236,socialmedia.net,/login,GET,jwt_token_hash,normal
2025-06-10T15:13:59.028086,192.168.1.83,10.0.0.169,TCP,443,117,example.com,/login,POST,session_token_abc email=user@valid.com ,normal
2025-06-10T15:13:59.038490,192.168.1.141,10.0.0.96,TCP,80,388,example.com,/products,GET,,normal
2025-06-10T15:13:59.048701,192.168.1.157,10.0.0.40,TCP,80,478,newsportal.org,/search?q=data,POST,session_token_abc,normal
2025-06-10T15:13:59.059055,192.168.1.65,10.0.0.194,TCP,443,225,socialmedia.net,/dashboard,GET,encrypted_data_xyz,normal
2025-06-10T15:13:59.069414,192.168.1.214,10.0.0.70,TCP,80,281,example.com,/,GET, email=malformed_email.com ,normal
2025-06-10T15:13:59.080093,192.168.1.193,10.0.0.93,TCP,443,480,newsportal.org,/dashboard,GET,session_token_abc,normal
2025-06-10T15:13:59.090530,192.168.1.239,10.0.0.206,TCP,443,242,socialmedia.net,/login,GET,session_token_abc email=test@domain.org ,normal
2025-06-10T15:13:59.101012,192.168.1.172,10.0.0.83,TCP,80,257,newsportal.org,/dashboard,GET,,normal
